filename,xmin,ymin,xmax,ymax,class
003.jpg,129,0,278,111,D12
100805.jpg,196,1024,542,1199,D40
100805.jpg,228,1273,471,1413,D40
100807.jpg,16,1638,803,1847,D12
100807.jpg,254,1217,593,1558,D40
100809.jpg,159,1376,380,1551,D40
100809.jpg,460,951,560,1018,D40
100810.jpg,488,1075,624,1145,D40
100810.jpg,265,1341,602,1525,D40
100811.jpg,372,1131,653,1213,D12
100811.jpg,783,686,825,771,D00
100811.jpg,203,1228,499,1380,D40
100974.jpg,192,1260,645,1619,D20
100974.jpg,189,1268,637,1624,D12
100974.jpg,310,1078,527,1246,D40
100976.jpg,557,947,727,1382,D00
100976.jpg,219,715,606,976,D35
100976.jpg,646,532,848,645,D20
100977.jpg,290,705,428,773,D20
100977.jpg,351,939,658,1134,D20
100977.jpg,304,457,595,631,D35
100977.jpg,348,1146,613,1281,D40
100981.jpg,0,1050,455,1436,D21
100981.jpg,0,1047,455,1370,D41
101142.jpg,10,1191,400,1298,D10
101142.jpg,409,1075,563,1259,D40
101143.jpg,390,1172,490,1282,D40
101143.jpg,13,779,380,861,D10
101145.jpg,469,1682,635,1907,D40
101145.jpg,10,1241,392,1399,D10
101145.jpg,417,440,478,580,D40
101151.jpg,448,792,499,859,D40
101151.jpg,444,570,511,658,D40
101151.jpg,452,1361,524,1523,D40
101151.jpg,398,947,485,1026,D40
101152.jpg,580,1242,858,1321,D10
101152.jpg,389,1075,466,1160,D40
101152.jpg,417,1167,498,1290,D40
101155.jpg,456,1250,556,1385,D40
101157.jpg,164,755,242,869,D00
101157.jpg,304,1025,627,1210,D40
101158.jpg,159,955,307,1086,D40
101158.jpg,355,1035,584,1240,D40
101158.jpg,274,1283,850,1885,D20
101163.jpg,201,133,232,219,D00
101163.jpg,198,683,842,988,D20
101163.jpg,70,1450,793,1885,D40
101163.jpg,178,1001,369,1125,D40
101164.jpg,786,1691,858,1777,D40
101164.jpg,291,1065,804,1315,D20
101165.jpg,428,678,832,915,D12
101165.jpg,294,1615,821,1907,D12
101166.jpg,372,508,414,606,D00
101808.jpg,416,587,476,731,D00
101808.jpg,42,1016,564,1415,D35
101814.jpg,291,1075,736,1263,D40
101862.jpg,224,613,383,786,D20
101862.jpg,0,1413,759,1905,D20
101862.jpg,1,1403,317,1904,D20
101862.jpg,180,979,667,1183,D20
101971.jpg,280,1141,420,1223,D40
101971.jpg,0,1350,819,1529,D10
103981.jpg,492,387,925,724,D40
1278377.jpg,3,692,426,958,D20
1278377.jpg,1133,665,1476,719,D10
1278377.jpg,513,628,765,706,D20
1278377.jpg,484,700,958,1090,D40
128198.jpg,366,1377,407,1414,D40
128198.jpg,265,592,785,843,D40
128203.jpg,185,0,944,862,D40
128203.jpg,1,0,194,94,D40
128203.jpg,234,315,838,785,D40
218083.jpg,494,1516,948,1705,D12
218083.jpg,658,842,946,995,D00
218084.jpg,701,1393,946,1706,D00
218084.jpg,584,892,930,1009,D10
26369.jpg,438,653,584,856,D00
26369.jpg,446,687,740,1088,D00
26369.jpg,607,588,769,667,D40
26370.jpg,647,350,698,503,D00
26370.jpg,708,517,839,700,D12
26370.jpg,1093,836,1477,1095,D35
26370.jpg,1274,407,1477,563,D00
26370.jpg,1058,287,1252,403,D00
26370.jpg,382,277,584,421,D20
270580.jpg,115,779,1477,1515,D40
289007.jpg,179,552,678,864,D40
291712.jpg,421,699,502,866,D00
291712.jpg,553,939,1202,1422,D40
292921.jpg,0,1511,1579,2348,D20
292921.jpg,437,1015,1345,1371,D40
292923.jpg,749,897,876,1020,D40
301051.jpg,323,225,1165,882,D40
304997.jpg,551,842,954,902,D10
305012.jpg,604,351,730,409,D20
305012.jpg,300,626,595,889,D40
305012.jpg,278,1033,684,1706,D20
