filename,xmin,ymin,xmax,ymax,class
100805.jpg,198,1018,549,1199,D40
100805.jpg,231,1281,466,1421,D40
100807.jpg,304,1684,809,1812,D10
100807.jpg,261,1254,590,1553,D40
100809.jpg,0,457,72,521,D00
100809.jpg,169,1385,387,1548,D40
100809.jpg,462,948,561,1006,D40
100810.jpg,478,1078,622,1151,D40
100810.jpg,258,1319,605,1530,D40
100811.jpg,784,696,824,772,D00
100811.jpg,200,1230,495,1390,D40
100974.jpg,548,1681,631,1903,D40
100974.jpg,180,1279,647,1638,D12
100974.jpg,305,1074,532,1260,D40
100977.jpg,346,1142,613,1286,D40
100981.jpg,32,948,503,1401,D21
101142.jpg,405,1081,568,1253,D40
101142.jpg,5,1190,375,1321,D10
101143.jpg,6,777,362,863,D10
101145.jpg,25,1258,403,1409,D10
101152.jpg,396,1083,499,1286,D40
101152.jpg,557,1249,857,1329,D10
101155.jpg,426,347,513,455,D40
101155.jpg,0,325,217,504,D35
101157.jpg,641,1300,731,1362,D40
101157.jpg,165,751,241,863,D00
101157.jpg,307,1036,628,1213,D40
101158.jpg,253,1273,854,1904,D20
101158.jpg,362,1046,614,1225,D40
101158.jpg,253,1274,858,1897,D12
101163.jpg,181,725,528,1020,D20
101163.jpg,454,1591,602,1675,D40
101163.jpg,202,1032,366,1123,D40
101163.jpg,182,678,845,1005,D20
101164.jpg,307,1040,812,1313,D20
101165.jpg,12,970,166,1593,D00
101165.jpg,505,1592,635,1675,D40
101808.jpg,85,1002,590,1430,D35
101814.jpg,229,645,313,688,D00
101814.jpg,390,1083,711,1257,D40
101862.jpg,216,802,647,1186,D12
101862.jpg,5,1388,352,1888,D12
101862.jpg,497,1442,815,1907,D12
101971.jpg,276,1139,426,1236,D21
101971.jpg,277,1138,417,1233,D41
103980.jpg,566,85,599,191,D00
103980.jpg,577,728,861,820,D40
103981.jpg,467,359,959,748,D40
1278377.jpg,11,690,467,1103,D20
1278377.jpg,447,573,479,670,D00
1278377.jpg,44,684,451,874,D20
1278377.jpg,532,627,767,704,D20
1278377.jpg,1122,663,1477,717,D10
1278377.jpg,465,683,977,1058,D40
128198.jpg,197,122,470,259,D12
128198.jpg,347,1371,414,1427,D40
128198.jpg,247,580,800,860,D40
218083.jpg,3,1389,231,1549,D40
218083.jpg,656,848,949,992,D00
218083.jpg,685,545,882,707,D00
218083.jpg,657,845,948,994,D10
218084.jpg,428,812,594,897,D40
218084.jpg,102,846,404,1001,D20
218084.jpg,719,1389,958,1706,D00
218084.jpg,579,892,867,991,D10
22173.jpg,1,455,137,495,D10
26369.jpg,447,687,763,1099,D00
26369.jpg,606,586,773,676,D40
26370.jpg,714,539,773,682,D00
26370.jpg,1057,289,1259,396,D00
26370.jpg,984,824,1465,1107,D35
26370.jpg,651,350,695,496,D00
26370.jpg,1252,396,1476,555,D00
26370.jpg,357,277,600,439,D20
270580.jpg,82,682,1467,1479,D40
291712.jpg,415,688,507,881,D00
291712.jpg,525,905,1206,1381,D40
292923.jpg,743,898,886,1002,D40
292925.jpg,97,669,292,1013,D00
301051.jpg,320,777,447,880,D40
301051.jpg,284,778,450,952,D40
301051.jpg,386,172,1112,747,D40
304997.jpg,580,835,957,927,D35
304997.jpg,572,836,960,907,D10
304997.jpg,389,645,549,866,D40
305012.jpg,237,920,684,1700,D20
305012.jpg,280,596,712,892,D40
305012.jpg,378,375,866,550,D20
305012.jpg,150,238,319,361,D20
305012.jpg,552,258,771,349,D20
305012.jpg,333,636,570,869,D40
305016.jpg,1048,759,1313,955,D20
305016.jpg,262,777,593,954,D20
305016.jpg,1211,671,1323,708,D40
