filename,xmin,ymin,xmax,ymax,class
003.jpg,2,166,107,294,D40
100805.jpg,198,1021,549,1207,D35
100805.jpg,206,1274,483,1423,D40
100807.jpg,684,511,857,654,D20
100807.jpg,333,1690,780,1812,D10
100807.jpg,86,1647,752,1837,D12
100807.jpg,250,1228,602,1558,D40
100809.jpg,463,951,557,1017,D40
100809.jpg,172,1380,383,1548,D40
100810.jpg,483,1081,623,1142,D40
100810.jpg,247,1344,612,1542,D40
100811.jpg,784,694,824,770,D00
100811.jpg,203,1231,492,1378,D40
100974.jpg,239,1263,652,1512,D20
100974.jpg,230,1656,313,1906,D40
100974.jpg,545,1677,638,1907,D40
100974.jpg,310,1082,539,1245,D40
100977.jpg,286,706,424,778,D20
100977.jpg,621,1093,795,1262,D12
100977.jpg,371,948,617,1129,D12
100977.jpg,350,1136,622,1281,D40
100981.jpg,9,990,465,1376,D21
101142.jpg,555,1788,667,1906,D40
101142.jpg,0,1189,381,1316,D10
101142.jpg,406,1098,569,1250,D40
101143.jpg,395,1169,486,1279,D40
101143.jpg,3,783,357,862,D10
101145.jpg,456,1603,646,1907,D40
101145.jpg,9,1240,401,1405,D10
101151.jpg,622,1678,855,1906,D12
101152.jpg,554,1251,851,1321,D10
101152.jpg,391,1081,496,1300,D40
101155.jpg,1,326,192,517,D35
101156.jpg,273,1072,517,1324,D40
101157.jpg,165,751,244,869,D00
101157.jpg,637,1300,727,1361,D40
101157.jpg,308,1031,635,1208,D40
101158.jpg,0,1025,117,1324,D12
101158.jpg,168,976,655,1247,D40
101158.jpg,270,1242,858,1904,D12
101163.jpg,400,1584,615,1677,D40
101163.jpg,298,1522,609,1685,D40
101163.jpg,37,1464,847,1907,D12
101163.jpg,495,1029,857,1555,D12
101163.jpg,188,669,852,1012,D20
101163.jpg,184,1018,382,1122,D40
101164.jpg,296,1062,804,1302,D20
101165.jpg,315,1523,858,1904,D12
101808.jpg,103,1022,566,1447,D35
101814.jpg,430,514,758,585,D10
101814.jpg,304,1083,723,1257,D40
