filename,xmin,ymin,xmax,ymax,class
003.jpg,14,175,105,267,D40
003.jpg,5,9,106,117,D00
003.jpg,134,82,273,164,D40
100805.jpg,195,1025,409,1183,D12
100805.jpg,251,428,357,472,D41
100805.jpg,210,1269,465,1418,D40
100807.jpg,52,1642,777,1839,D12
100807.jpg,262,1192,602,1594,D40
100809.jpg,148,1367,483,1638,D40
100809.jpg,471,951,552,1007,D40
100810.jpg,484,1075,627,1149,D35
100810.jpg,258,1326,599,1529,D40
100811.jpg,431,1130,667,1215,D12
100811.jpg,782,694,822,770,D00
100811.jpg,192,1225,502,1384,D40
100974.jpg,385,639,509,688,D60
100974.jpg,311,700,617,945,D60
100974.jpg,181,1258,630,1644,D20
100974.jpg,388,637,507,691,D35
100974.jpg,341,706,631,940,D35
100974.jpg,290,1068,537,1250,D40
100976.jpg,573,1005,727,1380,D40
100977.jpg,87,1134,340,1282,D12
100977.jpg,329,946,664,1132,D20
100977.jpg,625,1114,851,1270,D12
100977.jpg,330,948,661,1134,D12
100977.jpg,349,1149,616,1283,D40
100977.jpg,317,482,570,643,D35
100981.jpg,0,986,598,1484,D40
100981.jpg,0,930,475,1392,D21
101142.jpg,4,1187,392,1313,D10
101142.jpg,410,1072,593,1276,D40
101143.jpg,372,1185,511,1638,D40
101143.jpg,397,1172,490,1375,D40
101143.jpg,4,782,361,859,D10
101145.jpg,473,1615,661,1907,D40
101145.jpg,21,1251,384,1404,D10
101151.jpg,450,1336,517,1503,D40
101151.jpg,448,546,515,676,D40
101152.jpg,548,1255,856,1329,D10
101152.jpg,398,1092,505,1303,D40
101155.jpg,409,476,498,538,D40
101155.jpg,429,351,511,451,D40
101156.jpg,170,958,306,1069,D10
101156.jpg,270,1052,513,1323,D40
101157.jpg,699,885,789,1048,D00
101157.jpg,644,1304,724,1359,D40
101157.jpg,165,753,241,866,D00
101157.jpg,252,1231,748,1445,D12
101157.jpg,567,704,741,899,D12
101157.jpg,307,1023,636,1216,D40
101158.jpg,344,1046,607,1214,D40
