filename,xmin,ymin,xmax,ymax,class
003.jpg,9,168,109,272,D40
100805.jpg,191,1030,536,1209,D35
100805.jpg,195,1017,552,1212,D40
100805.jpg,224,1273,466,1416,D40
100807.jpg,136,832,386,1215,D12
100807.jpg,321,1676,779,1813,D10
100807.jpg,248,1227,611,1591,D40
100809.jpg,534,1374,858,1907,D12
100809.jpg,723,623,857,678,D10
100809.jpg,0,458,73,521,D00
100809.jpg,168,1369,394,1552,D40
100810.jpg,718,856,856,904,D10
100810.jpg,476,1070,624,1143,D40
100810.jpg,255,1333,608,1526,D40
100811.jpg,58,755,150,802,D00
100811.jpg,785,696,828,773,D00
100811.jpg,207,1230,500,1391,D40
100974.jpg,192,1257,663,1624,D12
100974.jpg,310,1066,532,1251,D40
100976.jpg,168,885,282,1349,D00
100977.jpg,339,1135,612,1283,D40
100981.jpg,3,950,570,1425,D40
100981.jpg,3,1393,355,1461,D10
100981.jpg,3,957,552,1423,D21
101142.jpg,0,1187,390,1308,D10
101142.jpg,414,1063,573,1249,D40
101143.jpg,571,3,857,289,D35
101145.jpg,471,1674,649,1906,D40
101145.jpg,414,210,461,295,D40
101145.jpg,17,1245,421,1412,D10
101151.jpg,503,4,845,110,D35
101151.jpg,402,942,482,1026,D40
101152.jpg,394,1081,517,1289,D40
101152.jpg,460,1607,568,1899,D20
101152.jpg,588,1250,857,1338,D10
101157.jpg,644,1303,725,1358,D40
101157.jpg,306,1027,634,1212,D40
101158.jpg,220,1270,831,1882,D20
101158.jpg,154,976,709,1280,D40
101158.jpg,394,122,851,352,D35
101158.jpg,278,1262,858,1891,D12
101163.jpg,65,1449,854,1906,D12
101163.jpg,189,1028,373,1113,D40
101163.jpg,178,757,529,1020,D20
101163.jpg,187,663,850,1009,D20
101164.jpg,302,1065,790,1298,D20
101165.jpg,314,1578,851,1906,D12
101165.jpg,213,843,566,1000,D35
101166.jpg,449,776,510,953,D00
101808.jpg,102,1043,585,1436,D35
101808.jpg,134,1026,523,1230,D35
101814.jpg,436,525,756,595,D10
101814.jpg,429,1088,704,1250,D40
101862.jpg,263,775,631,1158,D20
101862.jpg,505,1456,767,1904,D12
101862.jpg,0,1391,373,1907,D12
101862.jpg,236,776,647,1178,D12
101971.jpg,0,1350,534,1457,D10
101971.jpg,276,1135,422,1235,D41
101971.jpg,277,1138,422,1237,D21
103980.jpg,562,87,598,192,D00
103981.jpg,920,365,1247,594,D20
103981.jpg,560,410,922,739,D40
1278377.jpg,446,574,485,678,D00
1278377.jpg,69,681,451,855,D20
1278377.jpg,1115,663,1474,718,D10
1278377.jpg,523,623,768,711,D20
1278377.jpg,460,691,974,1076,D40
128198.jpg,360,1376,410,1415,D40
128198.jpg,564,598,775,748,D40
128198.jpg,257,585,801,862,D40
218083.jpg,505,1505,931,1705,D12
218083.jpg,655,846,955,992,D10
218084.jpg,801,1486,946,1700,D00
218084.jpg,429,815,593,879,D40
218084.jpg,570,897,863,985,D10
218084.jpg,117,841,426,972,D20
22169.jpg,288,751,428,844,D12
22173.jpg,2,459,126,503,D10
22173.jpg,632,369,720,406,D40
22173.jpg,610,361,756,412,D40
26369.jpg,195,448,364,499,D10
26369.jpg,455,674,766,1101,D00
26369.jpg,604,583,772,672,D40
26370.jpg,718,540,773,681,D00
26370.jpg,716,485,806,535,D40
26370.jpg,1288,427,1477,562,D00
26370.jpg,1058,284,1266,409,D00
26370.jpg,362,272,597,437,D20
26370.jpg,650,346,693,488,D00
