filename,xmin,ymin,xmax,ymax,class
100805.jpg,199,1015,555,1214,D40
100805.jpg,226,1275,472,1417,D40
100807.jpg,62,1616,773,1858,D12
100807.jpg,225,1204,626,1547,D40
100809.jpg,463,943,565,1011,D40
100809.jpg,0,456,71,523,D00
100809.jpg,155,1379,392,1552,D40
100810.jpg,480,1072,616,1151,D40
100810.jpg,257,1329,615,1535,D40
100811.jpg,783,692,825,770,D00
100811.jpg,201,1227,504,1388,D40
100974.jpg,319,1072,530,1257,D40
100977.jpg,377,946,644,1122,D20
100977.jpg,342,1138,623,1280,D40
100981.jpg,2,1396,344,1463,D10
100981.jpg,31,979,540,1376,D21
101142.jpg,0,1207,341,1308,D10
101142.jpg,412,1082,575,1250,D40
101143.jpg,21,781,377,860,D10
101145.jpg,465,1681,649,1907,D40
101145.jpg,14,1276,396,1401,D10
101151.jpg,524,448,838,504,D10
101151.jpg,410,945,490,1034,D40
101157.jpg,165,742,249,867,D00
101157.jpg,663,1303,725,1360,D40
101157.jpg,308,1029,631,1215,D40
101158.jpg,333,1247,854,1903,D12
101163.jpg,198,776,505,1010,D20
101163.jpg,140,1003,398,1128,D40
101164.jpg,317,1089,692,1316,D20
101808.jpg,113,1033,529,1410,D35
101814.jpg,323,1074,720,1248,D40
101971.jpg,271,1140,424,1234,D21
101971.jpg,271,1141,427,1244,D40
103981.jpg,530,407,942,734,D40
1278377.jpg,68,685,450,851,D20
1278377.jpg,459,679,952,1076,D40
1278377.jpg,1118,661,1476,716,D10
1278377.jpg,502,631,785,712,D20
128198.jpg,257,609,804,855,D40
218083.jpg,655,845,936,983,D10
218084.jpg,570,894,869,983,D10
26369.jpg,439,655,636,923,D00
26369.jpg,453,672,721,1072,D00
26369.jpg,610,582,773,676,D40
26370.jpg,1273,411,1474,545,D00
26370.jpg,651,361,695,495,D00
26370.jpg,1062,286,1257,407,D00
26370.jpg,364,266,597,439,D20
270580.jpg,202,782,1569,1456,D40
291712.jpg,413,681,511,875,D00
291712.jpg,548,936,1227,1407,D40
292923.jpg,752,900,875,1019,D40
292925.jpg,93,668,299,1013,D00
301051.jpg,335,781,441,885,D40
304997.jpg,567,843,959,899,D10
304997.jpg,387,645,547,868,D40
305012.jpg,570,669,689,796,D12
305012.jpg,383,388,872,541,D20
305012.jpg,329,636,684,948,D40
305012.jpg,140,230,324,358,D20
305012.jpg,555,257,762,330,D20
305012.jpg,378,655,560,811,D40
305016.jpg,3,760,541,958,D20
305016.jpg,1045,742,1310,960,D20
305016.jpg,1597,608,1705,744,D20
305016.jpg,1519,807,1700,958,D20
305017.jpg,1472,518,1677,648,D20
305017.jpg,1509,777,1706,947,D20
305050.jpg,360,601,530,837,D20
305050.jpg,302,966,558,1254,D20
305050.jpg,395,480,474,519,D40
305228.jpg,483,542,582,623,D40
305235.jpg,445,639,659,753,D40
305245.jpg,440,873,535,933,D40
305245.jpg,429,566,486,600,D40
305247.jpg,250,1585,639,1706,D40
305247.jpg,358,680,526,756,D40
305247.jpg,367,796,546,895,D40
305819.jpg,577,572,687,745,D12
305819.jpg,464,667,581,722,D40
305887.jpg,522,481,670,587,D20
305887.jpg,381,279,559,464,D00
305887.jpg,0,600,274,646,D10
305887.jpg,105,759,629,1078,D40
305887.jpg,253,813,571,1001,D40
305887.jpg,304,524,531,597,D40
305888.jpg,390,1198,631,1492,D12
305888.jpg,52,925,599,1312,D40
305888.jpg,250,861,450,967,D12
305888.jpg,16,1001,174,1175,D12
305888.jpg,0,712,308,767,D10
305888.jpg,154,970,550,1188,D40
305888.jpg,369,653,654,739,D40
306739.jpg,455,837,936,1192,D20
306748.jpg,330,0,742,186,D20
306748.jpg,1,905,145,1176,D00
306803.jpg,704,431,865,513,D20
306907.jpg,219,248,269,280,D00
306907.jpg,243,678,385,823,D20
306907.jpg,138,1272,655,1698,D20
307147.jpg,503,715,674,1269,D00
307149.jpg,320,819,475,898,D40
307153.jpg,14,1159,511,1689,D12
307153.jpg,402,803,546,902,D12
307153.jpg,6,925,190,1105,D00
307188.jpg,434,614,504,658,D40
307237.jpg,905,578,980,615,D40
307237.jpg,784,417,1061,610,D20
307251.jpg,119,783,222,972,D00
307251.jpg,153,597,275,725,D12
307251.jpg,3,789,92,965,D00
307251.jpg,424,1335,777,1660,D12
307251.jpg,303,623,450,690,D40
307251.jpg,367,824,507,915,D40
316206.jpg,428,760,510,815,D40
318411.jpg,408,819,550,894,D40
318411.jpg,752,1473,948,1705,D20
318447.jpg,245,1529,417,1705,D12
318447.jpg,4,1526,252,1574,D10
318447.jpg,375,953,435,1019,D40
318447.jpg,311,642,406,860,D12
318447.jpg,228,1048,472,1293,D12
318447.jpg,3,1265,230,1313,D10
318447.jpg,4,628,88,704,D00
318447.jpg,4,614,102,702,D12
318448.jpg,458,1048,634,1172,D35
318448.jpg,216,807,344,931,D40
318449.jpg,812,1213,960,1258,D10
318453.jpg,0,679,187,721,D10
318453.jpg,1164,799,1322,894,D40
