filename,xmin,ymin,xmax,ymax,class
003.jpg,10,0,276,83,D42
003.jpg,152,228,224,309,D40
003.jpg,116,88,276,163,D40
003.jpg,1,168,109,285,D40
100805.jpg,483,1059,536,1239,D00
100805.jpg,228,1269,491,1403,D40
100807.jpg,272,818,351,1084,D00
100807.jpg,260,1171,607,1616,D40
100809.jpg,483,954,553,988,D40
100809.jpg,94,770,857,828,D10
100809.jpg,724,630,856,672,D12
100809.jpg,133,1347,546,1659,D40
100810.jpg,220,963,847,1011,D10
100810.jpg,76,720,146,775,D00
100810.jpg,719,864,854,900,D12
100811.jpg,139,546,206,562,D41
100811.jpg,787,698,813,769,D00
100811.jpg,211,1231,499,1379,D40
100974.jpg,223,1662,317,1907,D40
100974.jpg,251,1075,568,1257,D40
100974.jpg,340,1673,547,1905,D20
100974.jpg,191,1270,628,1653,D20
100976.jpg,763,520,857,668,D20
100977.jpg,87,1116,319,1276,D12
100977.jpg,633,1081,799,1259,D12
100977.jpg,348,1146,613,1280,D40
100977.jpg,336,942,633,1127,D12
100981.jpg,32,954,527,1395,D21
101142.jpg,569,1818,658,1907,D40
101142.jpg,445,611,515,1044,D00
101142.jpg,2,1190,400,1295,D10
101142.jpg,507,1274,644,1836,D12
101142.jpg,419,1057,584,1239,D40
101143.jpg,461,1732,575,1905,D40
101143.jpg,392,907,503,1165,D40
101143.jpg,382,1171,509,1694,D40
101143.jpg,16,778,358,851,D10
101145.jpg,407,337,488,443,D40
101145.jpg,518,1340,632,1383,D10
101145.jpg,473,1668,555,1906,D40
101145.jpg,427,682,520,1198,D00
101145.jpg,465,1439,546,1639,D40
101145.jpg,401,454,502,660,D40
101145.jpg,412,1260,503,1438,D40
101145.jpg,22,1266,392,1391,D10
101151.jpg,524,449,722,503,D10
101151.jpg,624,1722,856,1907,D12
101151.jpg,447,574,496,671,D40
101151.jpg,401,944,491,1018,D40
101151.jpg,446,793,498,857,D40
101151.jpg,449,1358,518,1482,D40
101152.jpg,584,1254,852,1313,D10
101152.jpg,397,1082,495,1289,D40
101156.jpg,263,1798,367,1906,D40
101157.jpg,121,1222,614,1439,D12
101157.jpg,654,1305,722,1357,D40
101157.jpg,75,1459,801,1900,D12
101157.jpg,327,1032,630,1207,D40
101158.jpg,268,1351,330,1409,D40
101158.jpg,0,1070,119,1325,D12
101158.jpg,164,979,591,1208,D40
101158.jpg,279,530,858,939,D12
101158.jpg,256,1228,857,1886,D12
101163.jpg,0,764,93,976,D12
101163.jpg,468,1035,858,1496,D40
101163.jpg,210,1029,377,1117,D40
101163.jpg,468,1039,858,1493,D12
101163.jpg,170,662,855,1026,D20
101163.jpg,58,1511,858,1907,D12
101164.jpg,0,1237,135,1873,D12
101164.jpg,783,1696,857,1768,D40
101164.jpg,606,1311,858,1674,D12
101164.jpg,286,946,857,1299,D20
101165.jpg,1,1344,132,1907,D12
101165.jpg,287,1557,857,1906,D12
101166.jpg,471,970,583,1468,D40
101166.jpg,499,1693,568,1907,D00
101166.jpg,449,784,486,924,D00
101166.jpg,400,410,499,511,D40
101808.jpg,116,1004,590,1501,D35
101814.jpg,479,1081,744,1247,D40
101862.jpg,321,1584,389,1641,D40
101862.jpg,399,1013,812,1393,D12
101862.jpg,0,1371,366,1905,D12
101862.jpg,496,1448,858,1907,D12
101971.jpg,270,1249,855,1407,D35
101971.jpg,268,1139,429,1236,D21
103980.jpg,577,721,880,799,D40
103981.jpg,1244,230,1378,455,D12
103981.jpg,1,367,444,1100,D20
103981.jpg,952,63,1081,228,D12
103981.jpg,1096,157,1233,327,D12
103981.jpg,956,338,1169,590,D12
