filename,xmin,ymin,xmax,ymax,class
100805.jpg,186,1020,529,1205,D40
100805.jpg,244,1279,466,1413,D40
100807.jpg,440,774,564,877,D40
100807.jpg,92,832,410,1178,D12
100807.jpg,257,1227,578,1579,D40
100809.jpg,0,457,75,520,D00
100809.jpg,176,1382,382,1556,D40
100809.jpg,476,953,552,999,D40
100809.jpg,138,1348,568,1642,D40
100810.jpg,260,1337,603,1523,D40
100811.jpg,786,695,822,769,D00
100811.jpg,201,1231,497,1383,D40
100974.jpg,325,1669,552,1906,D12
100974.jpg,336,691,620,950,D35
100974.jpg,324,1668,551,1906,D20
100974.jpg,164,1268,649,1659,D12
100974.jpg,310,1084,537,1245,D40
100976.jpg,426,949,469,988,D40
100976.jpg,168,715,667,1389,D35
100976.jpg,630,454,850,644,D20
100976.jpg,145,752,690,1405,D40
100977.jpg,100,1129,334,1278,D20
100977.jpg,343,939,634,1130,D12
100977.jpg,372,1153,609,1278,D40
100981.jpg,6,1014,476,1422,D21
100981.jpg,433,987,578,1278,D12
101142.jpg,194,1185,408,1253,D10
101143.jpg,15,790,391,860,D10
101143.jpg,574,1,854,277,D35
101143.jpg,465,1735,570,1906,D40
101143.jpg,412,801,488,945,D20
101143.jpg,403,935,463,1049,D40
101145.jpg,64,1173,101,1213,D40
101145.jpg,417,448,474,582,D40
101145.jpg,21,1247,410,1403,D10
101145.jpg,15,1242,411,1405,D12
101151.jpg,624,1677,857,1907,D12
101151.jpg,516,174,841,518,D12
101151.jpg,452,1357,511,1476,D40
101152.jpg,325,1454,365,1499,D40
101152.jpg,549,1255,857,1318,D10
101152.jpg,494,1792,629,1907,D40
101157.jpg,168,761,237,874,D00
101157.jpg,214,1309,609,1671,D20
101157.jpg,578,743,748,904,D12
101157.jpg,628,1303,726,1364,D40
101157.jpg,319,1047,620,1208,D40
101158.jpg,158,974,308,1082,D40
101158.jpg,191,500,259,766,D20
101158.jpg,417,1378,504,1451,D40
101158.jpg,157,1116,265,1274,D20
101158.jpg,0,1018,139,1326,D12
101158.jpg,355,1058,648,1208,D40
101158.jpg,283,422,858,1006,D12
101158.jpg,273,1264,858,1892,D12
101163.jpg,464,1043,850,1457,D12
101163.jpg,717,1419,857,1508,D40
101163.jpg,508,1107,591,1152,D40
101163.jpg,66,1488,821,1903,D12
101163.jpg,549,1026,847,1192,D12
101163.jpg,205,1034,361,1113,D40
101163.jpg,184,764,545,1021,D20
101163.jpg,653,1295,724,1350,D40
101164.jpg,0,987,192,1446,D12
101164.jpg,16,1277,218,1441,D12
101164.jpg,483,1093,579,1137,D40
101164.jpg,792,1697,857,1771,D40
101164.jpg,297,1072,726,1303,D20
101164.jpg,26,1009,203,1225,D12
101165.jpg,323,1569,858,1906,D12
101165.jpg,590,963,858,1255,D12
101165.jpg,585,970,855,1280,D20
101165.jpg,191,826,308,908,D40
101165.jpg,508,1597,632,1675,D40
101166.jpg,450,773,506,946,D00
101808.jpg,77,992,584,1387,D35
101814.jpg,299,1101,440,1218,D12
101814.jpg,306,1065,733,1248,D40
101862.jpg,225,604,357,756,D12
101862.jpg,0,1364,401,1903,D20
101862.jpg,1,1412,361,1906,D12
101862.jpg,210,793,645,1176,D12
101971.jpg,276,1140,422,1225,D41
101971.jpg,278,1139,410,1232,D40
103980.jpg,301,772,679,943,D35
103980.jpg,568,91,596,192,D00
103981.jpg,1069,489,1159,553,D40
103981.jpg,1380,876,1473,1001,D40
103981.jpg,0,774,540,1108,D20
103981.jpg,480,356,927,717,D40
1278377.jpg,1060,828,1170,932,D12
1278377.jpg,1112,661,1477,716,D10
1278377.jpg,522,633,769,705,D20
1278377.jpg,465,701,962,1108,D40
128198.jpg,400,623,544,690,D40
128198.jpg,216,112,470,247,D20
128198.jpg,546,601,777,760,D40
128198.jpg,517,785,776,914,D12
128198.jpg,428,886,489,944,D40
128198.jpg,786,248,856,276,D10
128198.jpg,366,1379,410,1414,D40
128198.jpg,0,631,239,936,D20
128198.jpg,259,604,780,859,D40
128203.jpg,160,17,1091,789,D40
218083.jpg,387,657,521,727,D12
218083.jpg,720,1585,948,1706,D12
218083.jpg,505,1483,667,1701,D00
218083.jpg,651,840,957,1006,D10
218084.jpg,766,1505,936,1705,D00
218084.jpg,576,890,853,987,D10
22169.jpg,295,748,433,844,D12
22169.jpg,201,727,318,766,D40
26369.jpg,433,649,581,856,D00
26369.jpg,447,675,765,1104,D00
26369.jpg,605,581,772,670,D40
26370.jpg,719,487,809,545,D20
26370.jpg,648,352,694,486,D00
26370.jpg,739,148,887,174,D10
26370.jpg,592,369,704,526,D12
26370.jpg,900,188,999,225,D41
26370.jpg,1061,288,1247,397,D00
26370.jpg,385,272,592,421,D20
270580.jpg,323,780,1452,1350,D40
289007.jpg,20,1135,288,1702,D12
289007.jpg,281,1328,562,1436,D10
289007.jpg,594,1136,743,1472,D12
291712.jpg,632,1133,754,1232,D40
291712.jpg,410,679,506,868,D00
291712.jpg,529,926,1259,1491,D40
292919.jpg,1516,2057,1650,2364,D00
292921.jpg,76,1486,1673,2364,D20
292923.jpg,1283,1035,1401,1183,D40
292923.jpg,748,906,870,1011,D40
292923.jpg,1108,1357,1184,1431,D40
292925.jpg,909,724,1062,914,D40
292925.jpg,936,919,1002,983,D40
292929.jpg,378,347,1691,810,D20
292929.jpg,3,290,369,802,D40
301051.jpg,427,629,596,777,D40
301051.jpg,1197,257,1292,312,D40
301051.jpg,478,293,574,404,D40
301051.jpg,504,407,629,496,D40
301051.jpg,329,786,435,871,D40
301051.jpg,280,777,448,960,D40
301051.jpg,184,248,1098,946,D40
304997.jpg,384,549,428,653,D40
304997.jpg,403,1453,451,1706,D00
304997.jpg,590,845,954,896,D10
304997.jpg,399,650,528,896,D40
305012.jpg,237,1055,689,1703,D20
305012.jpg,250,1018,688,1697,D12
305012.jpg,365,890,594,1033,D20
305012.jpg,389,654,525,765,D40
305012.jpg,139,234,320,361,D20
305012.jpg,557,676,692,827,D12
305012.jpg,5,363,238,553,D20
305012.jpg,368,385,894,551,D20
305012.jpg,561,259,785,340,D20
305016.jpg,746,817,860,960,D12
305016.jpg,1430,748,1585,852,D20
305016.jpg,12,748,560,960,D12
305016.jpg,939,732,1309,950,D20
305016.jpg,1588,607,1705,727,D20
305016.jpg,1517,829,1705,955,D20
305017.jpg,1187,815,1335,950,D20
305017.jpg,632,625,1183,956,D12
305017.jpg,675,621,1227,947,D20
305017.jpg,17,691,510,942,D20
305017.jpg,1316,665,1461,770,D20
305017.jpg,1501,811,1706,955,D20
305017.jpg,1451,507,1693,660,D20
305050.jpg,445,1123,486,1161,D40
305050.jpg,297,961,563,1249,D20
305050.jpg,353,639,524,870,D12
305050.jpg,294,960,564,1260,D12
305050.jpg,354,642,524,868,D20
305050.jpg,387,594,440,621,D40
305050.jpg,400,481,479,517,D40
305228.jpg,196,967,370,1689,D00
305228.jpg,488,556,582,611,D40
305231.jpg,65,463,234,764,D12
305231.jpg,70,465,240,732,D00
305231.jpg,445,598,517,651,D40
305235.jpg,283,1099,324,1147,D40
305235.jpg,456,657,648,757,D40
305240.jpg,541,727,637,772,D40
305245.jpg,207,1263,254,1298,D40
305245.jpg,446,884,533,927,D40
305245.jpg,429,566,492,603,D40
305247.jpg,190,987,232,1020,D40
305247.jpg,385,473,499,525,D20
305247.jpg,360,678,530,753,D40
305247.jpg,370,796,540,905,D40
305819.jpg,459,663,581,717,D40
305819.jpg,315,984,742,1553,D20
305819.jpg,320,483,402,561,D20
305819.jpg,384,558,531,654,D20
305819.jpg,384,559,530,653,D12
305819.jpg,566,556,695,750,D12
305819.jpg,341,675,454,825,D20
305887.jpg,3,596,262,643,D10
305887.jpg,377,272,572,462,D00
305887.jpg,129,753,613,1060,D40
305887.jpg,290,512,601,617,D40
305887.jpg,93,714,761,1253,D40
305888.jpg,409,1248,631,1511,D12
305888.jpg,14,1003,163,1174,D12
305888.jpg,211,859,447,968,D12
305888.jpg,8,713,287,766,D10
305888.jpg,139,941,523,1234,D40
305888.jpg,519,357,819,558,D00
305888.jpg,330,627,820,774,D40
305888.jpg,0,838,656,1436,D40
306739.jpg,9,970,242,1181,D12
306739.jpg,14,980,221,1179,D20
306739.jpg,489,522,756,700,D20
306739.jpg,234,493,434,722,D20
306739.jpg,477,712,930,889,D20
306739.jpg,470,893,948,1174,D20
306748.jpg,548,2,784,194,D12
306748.jpg,180,394,340,666,D12
306748.jpg,304,196,502,441,D12
306748.jpg,333,0,760,190,D20
306748.jpg,2,932,136,1179,D00
306803.jpg,692,441,820,514,D20
306803.jpg,851,684,1048,956,D12
306803.jpg,497,439,899,570,D20
306907.jpg,239,600,591,889,D20
306907.jpg,225,607,609,1187,D20
306907.jpg,76,1248,675,1706,D20
307147.jpg,148,1383,221,1423,D40
307147.jpg,575,953,693,1381,D00
307147.jpg,612,729,731,931,D12
307149.jpg,328,825,471,882,D40
307149.jpg,800,964,957,1134,D00
307153.jpg,41,1162,615,1383,D12
307153.jpg,0,1455,160,1557,D12
307153.jpg,296,1049,499,1129,D40
307153.jpg,252,775,338,862,D00
307153.jpg,27,1153,611,1369,D20
307153.jpg,9,904,210,1113,D00
307153.jpg,11,1413,474,1706,D12
307153.jpg,392,805,534,908,D12
307188.jpg,411,884,743,1292,D12
307188.jpg,421,901,727,1293,D20
307188.jpg,435,617,498,655,D40
307207.jpg,247,627,625,942,D35
307237.jpg,907,582,988,620,D40
307237.jpg,769,405,1061,589,D12
307237.jpg,255,650,358,684,D10
307237.jpg,418,469,460,498,D40
307251.jpg,125,796,213,978,D00
307251.jpg,639,577,958,920,D12
307251.jpg,429,1352,802,1683,D12
307251.jpg,651,603,956,875,D20
307251.jpg,149,594,290,726,D12
307251.jpg,5,797,84,967,D00
307251.jpg,362,823,515,916,D40
307251.jpg,300,619,450,679,D40
314552.jpg,57,1532,308,2357,D12
316206.jpg,432,763,501,815,D40
318411.jpg,274,1018,401,1087,D40
318411.jpg,436,916,712,1042,D12
318411.jpg,717,1437,957,1706,D20
318411.jpg,717,1449,954,1705,D12
318411.jpg,391,826,547,899,D40
318447.jpg,1,614,100,703,D00
318447.jpg,2,608,123,700,D12
318447.jpg,302,571,390,620,D12
318447.jpg,4,1529,232,1574,D10
318447.jpg,363,901,413,937,D40
318447.jpg,232,1048,447,1289,D12
318447.jpg,260,1537,408,1706,D12
318447.jpg,313,761,391,871,D12
318447.jpg,1,1272,211,1307,D10
318447.jpg,327,893,444,1029,D40
318447.jpg,311,648,400,745,D12
318448.jpg,415,762,609,942,D12
318449.jpg,793,907,960,951,D10
318449.jpg,821,1223,957,1255,D10
318449.jpg,132,1625,207,1702,D40
318453.jpg,0,676,180,724,D10
318453.jpg,280,510,405,618,D00
318453.jpg,688,599,871,672,D10
318454.jpg,141,545,177,684,D00
318454.jpg,185,573,566,659,D40
318782.jpg,503,586,653,653,D40
318782.jpg,808,392,952,469,D40
318783.jpg,1,683,219,1007,D12
318981.jpg,0,733,566,1028,D20
318981.jpg,773,677,920,804,D00
318981.jpg,20,755,462,995,D12
318981.jpg,554,778,631,841,D40
318987.jpg,0,684,396,960,D12
318987.jpg,1384,634,1704,933,D20
318987.jpg,1135,437,1185,465,D40
318987.jpg,772,612,864,668,D40
318987.jpg,917,599,1702,878,D20
318988.jpg,808,913,867,948,D40
318988.jpg,370,1063,568,1271,D12
318988.jpg,15,501,324,787,D00
318988.jpg,0,1433,566,1702,D12
318988.jpg,12,622,197,792,D00
318989.jpg,155,1344,182,1370,D40
318989.jpg,632,934,714,1036,D00
318989.jpg,502,1582,849,1705,D12
318989.jpg,229,956,636,1207,D35
318990.jpg,422,856,502,904,D40
318990.jpg,589,816,625,849,D40
318990.jpg,414,545,836,747,D35
318999.jpg,747,254,941,378,D20
318999.jpg,416,879,461,926,D40
318999.jpg,721,654,776,734,D00
318999.jpg,801,746,952,1022,D00
318999.jpg,147,558,556,1050,D12
318999.jpg,236,396,372,559,D12
318999.jpg,855,873,950,1017,D00
318999.jpg,618,714,739,1026,D12
318999.jpg,388,414,508,458,D40
319000.jpg,440,1581,489,1613,D40
319000.jpg,75,858,227,1010,D12
319000.jpg,416,1028,525,1137,D12
319000.jpg,227,1311,310,1694,D00
